"","HOUSEID","TRAVDAY","SAMPSTRAT","HOMEOWN","HHSIZE","HHVEHCNT","HHFAMINC","PC","SPHONE","TAB","WALK","BIKE","CAR","TAXI","BUS","TRAIN","PARA","PRICE","PLACE","WALK2SAVE","BIKE2SAVE","PTRANS","HHRELATD","DRVRCNT","CNTTDHH","HHSTATE","HHSTFIPS","NUMADLT","YOUNGCHILD","WRKCOUNT","TDAYDATE","HHRESP","LIF_CYC","MSACAT","MSASIZE","RAIL","URBAN","URBANSIZE","URBRUR","SCRESP","CENSUS_D","CENSUS_R","CDIVMSAR","HH_RACE","HH_HISP","HH_CBSA","RESP_CNT","WEBUSE17","SMPLSRCE","WTHHFIN","HBHUR","HTHTNRNT","HTPPOPDN","HTRESDN","HTEEMPDN","HBHTNRNT","HBPPOPDN","HBRESDN"
"114329",40595335,6,3,1,3,1,-7,1,1,5,5,5,1,4,5,5,5,2,2,3,3,3,1,3,6,"GA",13,2,0,2,201704,1,8,3,1,2,1,1,1,1,5,3,53,3,2,"XXXXX",3,1,2,385.688323082587,"T",20,1500,750,750,5,1500,300
"114332",40595366,4,1,1,2,3,7,1,1,-9,-9,-9,1,-9,-9,1,-9,3,3,4,4,1,1,2,5,"GA",13,2,0,2,201702,1,2,1,5,1,1,5,1,1,5,3,51,2,2,"12060",2,1,2,273.929599132843,"S",20,3000,1500,750,20,3000,750
"114358",40595733,4,3,1,2,2,-7,1,1,1,2,4,1,5,5,5,5,4,3,4,5,5,1,2,3,"GA",13,2,0,0,201611,2,10,3,1,2,4,6,2,1,5,3,53,1,2,"XXXXX",2,1,2,46.3196689216433,"R",20,300,300,150,5,300,300
"114370",40595875,4,4,1,2,6,7,1,1,1,4,5,1,5,4,4,5,1,2,3,3,3,1,2,13,"GA",13,2,0,1,201701,1,10,4,6,2,4,6,2,1,5,3,54,1,2,"XXXXX",2,1,2,245.483799253444,"R",5,50,50,25,5,50,50
"114417",40596387,6,3,1,1,1,6,1,5,5,4,5,1,5,5,3,5,1,2,4,4,2,2,1,2,"GA",13,1,0,0,201701,1,9,3,1,2,1,4,1,1,5,3,53,1,2,"XXXXX",1,1,2,42.1605903872411,"T",5,1500,300,350,5,1500,300
"114418",40596388,4,3,1,1,1,3,5,5,5,5,5,1,5,5,5,5,1,1,5,5,5,2,1,4,"GA",13,1,0,0,201611,1,9,3,2,2,4,6,2,1,5,3,53,2,2,"XXXXX",1,5,2,66.6950694174741,"R",5,300,50,75,5,300,50
"114427",40596546,6,3,1,2,3,6,1,1,5,3,5,1,5,5,5,5,4,3,5,5,5,1,2,5,"GA",13,2,0,1,201701,1,10,3,2,2,1,2,1,1,5,3,53,1,2,"XXXXX",2,1,2,63.7541342608649,"C",30,750,300,350,20,3000,1500
"114439",40596679,4,3,1,1,1,3,1,1,5,5,5,1,5,5,5,5,1,1,4,4,4,2,1,5,"GA",13,1,0,1,201703,1,1,3,2,2,4,6,2,1,5,3,53,1,2,"XXXXX",1,1,2,106.860006116645,"R",20,300,50,25,20,50,50
"114443",40596714,5,1,1,2,2,11,1,1,5,3,5,1,4,5,4,5,4,2,3,5,4,1,2,9,"GA",13,2,0,1,201703,1,2,1,5,1,1,5,1,1,5,3,51,1,2,"12060",2,1,2,478.286587627358,"S",40,3000,1500,1500,5,3000,750
"114453",40596804,6,3,1,5,2,11,2,1,2,4,5,1,5,5,5,5,2,3,3,3,3,1,2,25,"GA",13,2,0,1,201702,1,4,3,3,2,4,6,2,1,5,3,53,1,2,"XXXXX",5,1,2,81.2455769581367,"S",0,1500,750,750,5,750,300
"114473",40597012,1,1,1,2,2,5,1,5,1,5,5,1,5,5,5,5,2,3,4,4,4,1,2,2,"GA",13,2,0,0,201703,1,10,1,5,1,4,6,2,1,5,3,51,1,2,"12060",2,1,2,691.745814431867,"R",5,300,50,75,5,300,50
