"","HOUSEID","TRAVDAY","SAMPSTRAT","HOMEOWN","HHSIZE","HHVEHCNT","HHFAMINC","PC","SPHONE","TAB","WALK","BIKE","CAR","TAXI","BUS","TRAIN","PARA","PRICE","PLACE","WALK2SAVE","BIKE2SAVE","PTRANS","HHRELATD","DRVRCNT","CNTTDHH","HHSTATE","HHSTFIPS","NUMADLT","YOUNGCHILD","WRKCOUNT","TDAYDATE","HHRESP","LIF_CYC","MSACAT","MSASIZE","RAIL","URBAN","URBANSIZE","URBRUR","SCRESP","CENSUS_D","CENSUS_R","CDIVMSAR","HH_RACE","HH_HISP","HH_CBSA","RESP_CNT","WEBUSE17","SMPLSRCE","WTHHFIN","HBHUR","HTHTNRNT","HTPPOPDN","HTRESDN","HTEEMPDN","HBHTNRNT","HBPPOPDN","HBRESDN"
"11526",30093035,4,1,1,1,4,9,1,1,2,3,3,1,-9,-9,3,-9,4,4,4,4,2,2,1,4,"GA",13,1,0,1,201609,1,1,1,5,1,1,5,1,1,5,3,51,1,2,"12060",1,1,2,194.173100159594,"C",30,3000,1500,1500,40,3000,1500
"11529",30093050,2,3,1,2,2,6,1,1,1,4,5,1,4,5,4,5,1,4,4,4,4,1,2,5,"GA",13,2,0,0,201607,1,10,3,1,2,1,1,1,1,5,3,53,1,2,"XXXXX",2,1,2,63.0670133420192,"S",30,1500,750,750,60,3000,1500
"11540",30093145,5,4,1,2,3,-7,2,1,5,5,5,1,5,5,5,5,2,2,5,5,5,1,2,8,"GA",13,2,0,0,201606,2,10,4,6,2,4,6,2,1,5,3,54,1,2,"XXXXX",2,1,2,1195.88352058488,"R",20,50,50,25,20,50,50
"11552",30093251,1,1,1,2,1,5,1,5,5,2,5,2,5,5,5,5,2,2,3,5,5,1,2,0,"GA",13,2,0,1,201611,1,10,1,5,1,1,5,1,1,5,3,51,1,2,"12060",2,1,1,950.940492782692,"C",40,3000,750,1500,20,1500,750
"11554",30093263,6,3,2,4,2,5,2,1,2,4,5,1,5,5,5,5,1,3,5,5,5,1,2,10,"GA",13,2,1,1,201607,1,4,3,1,2,1,1,1,1,5,3,53,2,2,"XXXXX",4,1,2,389.378689925726,"C",50,1500,750,350,70,7000,1500
"11562",30093313,2,3,2,1,0,3,2,2,5,2,5,3,5,3,5,5,2,4,3,4,3,2,1,13,"GA",13,1,0,0,201610,1,1,3,3,2,1,2,1,1,5,3,53,2,2,"XXXXX",1,2,2,209.983777968084,"C",30,1500,1500,750,60,3000,3000
"11572",30093415,7,3,1,3,1,4,1,1,1,-9,-9,1,-9,4,-9,-9,2,2,5,5,4,1,2,8,"GA",13,3,0,1,201607,1,8,3,3,2,1,2,1,1,5,3,53,2,2,"XXXXX",3,1,2,569.12483634741,"C",50,3000,1500,750,40,3000,1500
"11585",30093566,6,1,1,4,3,5,1,1,5,5,5,2,5,5,5,5,2,3,5,5,3,1,3,15,"GA",13,2,0,0,201605,1,5,1,5,1,1,5,1,1,5,3,51,1,2,"12060",4,1,2,2087.89056278313,"R",5,300,50,150,20,750,300
"11590",30093605,4,1,1,3,3,8,1,3,5,5,5,1,5,5,5,5,2,3,5,5,5,1,3,17,"GA",13,3,0,1,201606,1,10,1,5,1,1,5,1,1,5,3,51,2,2,"12060",3,1,2,1630.7916207687,"T",20,3000,750,750,5,1500,750
"11595",30093665,4,3,2,1,1,5,1,1,2,3,5,1,5,5,5,5,2,3,2,4,5,2,1,6,"GA",13,1,0,1,201607,1,1,3,3,2,1,2,1,1,5,3,53,1,2,"XXXXX",1,1,2,118.649428619334,"C",30,3000,1500,1500,20,3000,1500
"11636",30093976,2,3,1,2,2,9,1,1,1,5,5,1,4,5,5,5,2,4,3,3,3,1,2,5,"GA",13,2,0,1,201606,1,2,3,1,2,1,1,1,1,5,3,53,1,2,"XXXXX",2,1,2,197.894420275311,"T",20,300,50,150,5,1500,300
"11645",30094022,1,3,1,3,2,3,1,1,1,5,5,1,4,5,5,5,2,2,5,5,5,1,2,0,"GA",13,2,0,2,201610,2,6,3,2,2,1,2,1,1,5,3,53,2,2,"XXXXX",3,1,2,486.583862898617,"C",40,3000,750,750,40,3000,750
"11652",30094083,6,1,1,2,2,5,1,1,5,4,5,1,4,5,4,5,3,3,4,5,3,1,2,17,"GA",13,2,0,1,201608,2,10,1,5,1,1,5,1,1,5,3,51,1,2,"12060",2,1,2,403.071545885579,"S",30,7000,3000,3000,30,7000,3000
"11769",30094913,2,3,1,2,2,4,1,1,3,5,5,2,5,5,5,5,3,2,4,4,4,1,2,0,"GA",13,2,0,1,201610,1,10,3,2,2,4,6,2,1,5,3,53,1,2,"XXXXX",2,1,2,136.554781811431,"T",30,750,300,350,20,750,300
"11775",30094958,7,4,1,1,1,3,1,1,5,5,5,1,5,5,5,5,3,3,5,5,5,2,1,5,"GA",13,1,0,1,201609,1,1,4,6,2,2,6,1,1,5,3,54,1,2,"XXXXX",1,1,2,752.454796332867,"R",40,300,300,75,20,50,50
"11792",30095133,6,1,1,2,2,6,1,1,1,3,5,1,4,5,4,5,2,1,5,5,5,1,2,5,"GA",13,2,0,2,201609,1,2,1,5,1,1,5,1,1,5,3,51,1,2,"12060",2,1,2,181.566199024874,"S",0,3000,750,1500,5,3000,1500
"11802",30095199,5,1,1,2,2,7,1,1,1,1,4,1,5,5,4,5,1,2,2,2,5,1,2,2,"GA",13,2,0,1,201609,1,2,1,5,1,1,5,1,1,5,3,51,1,2,"12060",2,1,2,254.071382330882,"S",5,1500,750,750,5,3000,750
"11814",30095323,6,1,1,2,1,7,1,5,5,5,5,2,5,5,5,5,5,5,5,5,5,1,1,2,"GA",13,2,0,0,201605,1,10,1,5,1,4,6,2,1,5,3,51,1,2,"12060",2,1,2,167.928015643471,"R",5,300,50,75,5,50,50
"11823",30095379,3,3,1,2,1,8,1,5,5,2,5,1,5,5,5,5,5,5,5,5,5,1,2,8,"GA",13,2,0,0,201610,1,10,3,1,2,2,6,1,1,5,3,53,1,2,"XXXXX",2,1,2,51.8649442404718,"T",20,750,750,350,20,750,300
"11870",30095738,3,3,1,2,2,8,1,5,1,3,5,1,5,4,4,5,4,4,4,4,4,1,2,16,"GA",13,2,0,2,201608,1,2,3,1,2,1,1,1,1,5,3,53,1,2,"XXXXX",2,1,2,77.9019693389931,"T",30,1500,750,750,5,750,300
"11876",30095763,5,3,1,2,1,6,1,1,1,-9,-9,2,-9,-9,-9,-9,2,-9,-9,-9,-9,1,2,2,"GA",13,2,0,0,201607,1,10,3,2,2,1,2,1,1,5,3,53,1,2,"XXXXX",2,1,2,60.6501765775184,"T",30,300,300,150,5,7000,1500
"11890",30095887,3,4,1,2,2,7,-9,1,1,-9,-9,2,-9,-9,-9,-9,3,2,-9,2,-9,1,2,0,"GA",13,2,0,0,201610,1,10,4,6,2,4,6,2,1,5,3,54,1,2,"XXXXX",2,1,2,330.402146297772,"R",20,50,50,25,20,50,50
"11924",30096077,6,1,2,3,3,4,2,1,2,5,5,1,5,5,5,5,3,3,5,5,5,1,2,2,"GA",13,2,0,1,201607,1,6,1,5,1,1,5,1,1,5,3,51,1,2,"12060",3,1,2,288.448941267176,"T",20,300,300,150,20,300,50
"11927",30096103,4,3,2,2,2,4,1,1,5,4,5,1,5,5,5,5,1,3,3,3,3,1,2,13,"GA",13,2,0,2,201608,1,2,3,1,2,1,1,1,1,5,3,53,1,2,"XXXXX",2,1,2,184.511562330315,"T",30,750,300,350,5,3000,750
"11950",30096301,5,3,1,2,3,9,1,1,2,3,4,1,4,4,5,5,2,3,4,4,4,1,2,9,"GA",13,2,0,2,201611,1,2,3,3,2,4,6,2,1,5,3,53,1,2,"XXXXX",2,1,2,466.701444243584,"R",20,50,50,25,20,50,50
"11982",30096663,3,1,1,2,3,6,1,1,4,4,4,1,5,5,5,5,2,3,4,4,4,1,2,7,"GA",13,2,0,2,201610,1,2,1,5,1,4,6,2,1,5,3,51,1,2,"12060",2,1,2,358.350665404477,"T",5,750,300,350,5,750,300
"11995",30096809,5,4,2,2,2,6,1,1,2,3,5,1,5,5,5,5,3,3,2,5,5,1,2,4,"GA",13,2,0,1,201611,1,10,4,6,2,2,6,1,1,5,3,54,1,2,"XXXXX",2,1,2,1539.75615496076,"T",30,1500,750,350,20,1500,750
"12000",30096839,5,4,1,1,2,4,1,1,2,1,5,1,5,5,5,5,1,2,3,3,3,2,1,4,"GA",13,1,0,1,201608,1,1,4,6,2,2,6,1,1,5,3,54,1,2,"XXXXX",1,1,2,116.269555405309,"T",30,300,300,150,20,1500,750
"12014",30096960,1,3,1,1,1,3,5,5,5,5,5,1,5,5,5,5,5,5,4,4,4,2,1,0,"GA",13,1,0,1,201607,1,1,3,1,2,4,6,2,1,5,3,53,2,2,"XXXXX",1,5,2,216.518936068255,"R",5,50,50,25,5,50,50
"12042",30097191,3,3,1,3,2,5,1,1,1,5,5,1,5,5,5,5,1,2,5,5,5,1,2,8,"GA",13,2,0,2,201611,1,6,3,3,2,1,2,1,1,5,3,53,2,2,"XXXXX",3,1,2,115.843774765396,"C",5,1500,750,750,5,3000,1500
"12043",30097192,4,4,1,2,2,7,1,1,1,1,5,1,5,5,5,5,3,3,5,5,5,1,2,8,"GA",13,2,0,0,201612,1,10,4,6,2,4,6,2,1,5,3,54,1,2,"XXXXX",2,1,2,277.215306107078,"R",30,300,50,75,30,300,50
"12048",30097257,3,1,2,3,1,4,1,1,1,1,2,2,4,1,1,2,1,3,3,4,4,1,2,10,"GA",13,3,0,3,201609,1,2,1,5,1,1,5,1,1,5,3,51,2,2,"12060",3,1,2,1079.98428438292,"S",30,3000,1500,750,30,3000,1500
"12059",30097357,2,3,1,2,3,4,1,1,2,-9,-9,2,-9,-9,-9,-9,3,3,3,3,3,1,2,2,"GA",13,2,0,1,201608,1,10,3,1,2,1,4,1,1,5,3,53,1,2,"XXXXX",2,1,2,78.4534096540506,"T",5,750,300,350,5,300,300
"12066",30097425,4,1,1,4,3,9,1,1,5,4,5,1,4,5,4,5,3,2,5,5,5,1,2,10,"GA",13,2,0,2,201608,1,6,1,5,1,1,5,1,1,5,3,51,1,2,"12060",4,1,2,748.661776900814,"T",5,750,300,350,5,750,300
"12095",30097616,6,3,1,2,2,6,1,1,2,3,3,1,5,4,5,5,1,2,4,4,4,1,2,2,"GA",13,2,0,2,201609,1,2,3,1,2,1,1,1,1,5,3,53,97,1,"XXXXX",2,1,2,139.899582418026,"T",30,300,50,75,30,300,300
"12125",30097923,2,3,1,2,2,8,1,1,4,4,5,1,5,5,5,5,5,3,5,5,5,1,2,16,"GA",13,2,0,1,201608,1,10,3,3,2,1,2,1,1,5,3,53,6,2,"XXXXX",2,1,2,92.9718228075083,"C",20,1500,750,750,5,3000,750
"12178",30098271,7,3,1,2,2,8,1,1,1,5,5,1,5,5,5,5,5,4,4,4,4,1,2,8,"GA",13,2,0,1,201610,1,10,3,1,2,1,1,1,1,5,3,53,1,2,"XXXXX",2,1,2,205.594581818176,"T",20,1500,300,750,20,1500,750
"12183",30098295,1,1,97,1,1,2,1,3,4,5,5,1,5,5,5,5,2,3,4,4,4,2,1,3,"GA",13,1,0,0,201611,1,1,1,5,1,1,5,1,1,5,3,51,1,2,"12060",1,1,1,1010.53109468872,"C",5,3000,750,1500,20,3000,750
"12187",30098324,7,1,2,1,0,1,5,1,5,1,5,5,4,1,2,5,4,1,1,5,5,2,0,0,"GA",13,1,0,0,201608,1,1,1,5,1,1,5,1,1,5,3,51,2,2,"12060",1,1,2,1969.5904850421,"S",60,3000,1500,1500,70,1500,750
"12190",30098331,1,3,2,2,3,7,2,1,2,5,5,1,3,5,5,5,3,4,3,3,3,1,2,6,"GA",13,2,0,2,201608,1,2,3,2,2,1,2,1,1,5,3,53,2,2,"XXXXX",2,1,2,475.015130300123,"T",20,750,300,350,20,750,300
"12207",30098484,7,3,1,3,4,9,2,1,1,4,5,1,4,5,5,5,4,3,4,4,4,1,3,4,"GA",13,3,0,0,201608,1,10,3,1,2,4,6,2,1,5,3,53,1,2,"XXXXX",3,1,2,381.140398096689,"R",5,50,50,25,5,50,50
"12213",30098530,7,3,1,2,1,-7,1,5,5,1,5,-1,5,5,5,5,2,2,4,4,4,1,1,2,"GA",13,2,0,0,201605,2,10,3,3,2,1,2,1,1,5,3,53,1,2,"XXXXX",2,1,2,749.642285934049,"T",20,1500,300,750,5,1500,750
"12241",30098827,5,1,1,1,2,7,1,1,1,5,5,1,5,5,5,5,5,5,5,5,5,2,1,1,"GA",13,1,0,1,201611,1,1,1,5,1,1,5,1,1,5,3,51,1,2,"12060",1,1,2,682.712805952158,"S",20,3000,1500,1500,30,1500,750
"12245",30098850,6,3,1,1,1,4,1,5,5,5,5,1,5,5,4,5,2,2,4,4,4,2,1,3,"GA",13,1,0,0,201610,1,9,3,1,2,1,1,1,1,5,3,53,1,2,"XXXXX",1,1,2,53.1825982363471,"C",70,1500,750,750,70,1500,750
"12263",30098995,4,3,2,5,1,1,5,1,5,1,5,1,5,4,5,5,3,1,1,5,2,1,1,6,"GA",13,1,1,0,201610,1,3,3,2,2,1,2,1,1,5,3,53,2,2,"XXXXX",5,1,2,604.687986824247,"C",80,7000,1500,1500,80,7000,1500
"12278",30099160,1,1,1,2,4,6,1,1,5,3,5,1,5,5,5,5,2,2,4,4,4,1,1,2,"GA",13,2,0,1,201607,1,10,1,5,1,1,5,1,1,5,3,51,1,2,"12060",2,1,2,1029.4916917897,"C",30,7000,1500,3000,5,3000,750
"12291",30099285,5,4,1,3,2,7,1,1,2,5,5,1,5,5,5,5,3,4,5,5,5,1,2,9,"GA",13,2,1,2,201609,1,4,4,6,2,1,4,1,1,5,3,54,1,2,"XXXXX",3,1,2,83.4747387182495,"T",5,300,300,150,5,300,300
"12294",30099300,4,1,2,6,3,4,1,1,2,5,5,1,4,4,4,5,1,1,4,4,4,1,4,8,"GA",13,5,0,3,201609,1,8,1,5,1,1,5,1,1,5,3,51,1,1,"12060",6,1,2,2116.05822503694,"S",5,1500,750,750,5,1500,750
"12321",30099520,5,3,1,1,1,9,1,1,1,3,5,1,4,5,5,5,5,4,4,4,4,2,1,4,"GA",13,1,0,1,201611,1,1,3,3,2,4,6,2,1,5,3,53,2,2,"XXXXX",1,1,2,62.3131660830684,"T",5,300,50,75,5,3000,750
"12389",30099956,3,1,1,3,3,8,1,1,1,-9,-9,1,-9,-9,-9,-9,2,3,3,3,3,1,2,18,"GA",13,3,0,1,201610,1,2,1,5,1,1,5,1,1,5,3,51,1,2,"12060",3,1,2,521.160918729461,"C",30,1500,750,750,5,3000,750
"12427",30100347,3,3,1,1,2,3,-9,1,-9,5,5,3,5,5,5,5,3,3,3,3,3,2,1,2,"GA",13,1,0,0,201609,1,9,3,1,2,4,6,2,1,5,3,53,1,2,"XXXXX",1,1,2,57.7944913853536,"R",20,50,50,25,20,300,50
"12474",30100786,3,1,1,4,2,6,1,1,1,5,5,1,5,5,4,5,1,3,4,4,2,1,2,18,"GA",13,2,1,2,201610,1,4,1,5,1,1,5,1,1,5,3,51,2,2,"12060",4,1,2,787.755290971495,"S",5,1500,750,750,5,1500,750
"12475",30100788,2,3,2,4,2,3,2,1,5,5,5,1,4,5,5,4,4,3,4,4,4,1,2,6,"GA",13,2,2,1,201609,1,4,3,1,2,1,1,1,1,5,3,53,1,1,"XXXXX",4,1,2,542.120784857116,"T",20,300,300,150,20,750,300
"12477",30100811,5,1,1,2,2,4,1,1,1,5,5,1,5,5,5,5,3,3,5,5,5,1,2,10,"GA",13,2,0,2,201609,1,2,1,5,1,1,5,1,1,5,3,51,1,2,"12060",2,1,2,353.72482778007,"T",30,750,300,150,20,300,300
"12513",30101105,3,3,1,1,1,4,2,1,-9,5,5,1,5,5,5,5,4,4,5,5,5,2,1,2,"GA",13,1,0,1,201607,1,1,3,1,2,1,1,1,1,5,3,53,2,2,"XXXXX",1,1,2,125.227826528609,"S",40,1500,750,750,50,1500,750
"12525",30101191,5,3,1,4,3,8,1,1,2,4,3,1,3,5,5,5,4,4,4,4,4,1,2,10,"GA",13,2,0,2,201609,1,6,3,3,2,1,2,1,1,5,3,53,1,2,"XXXXX",4,1,2,134.127635455204,"S",20,1500,300,750,5,1500,300
"12542",30101338,2,3,2,4,2,5,1,1,1,5,5,1,5,5,5,5,3,4,5,5,5,1,1,12,"GA",13,1,0,1,201605,1,3,3,3,2,1,2,1,1,5,3,53,2,2,"XXXXX",4,1,2,574.228897236011,"C",40,3000,1500,750,50,3000,1500
"12549",30101391,3,1,2,4,2,4,3,1,2,4,5,1,5,4,4,5,4,5,4,4,4,1,2,10,"GA",13,2,1,2,201605,1,4,1,5,1,1,5,1,1,5,3,51,1,2,"12060",4,1,2,2112.38405871745,"S",30,1500,750,750,30,3000,750
"12567",30101552,6,1,2,2,1,4,1,1,2,1,5,1,5,5,5,5,1,1,3,5,3,1,1,4,"GA",13,2,0,0,201608,1,10,1,5,1,1,5,1,1,5,3,51,2,2,"12060",2,1,2,840.476715321023,"C",20,3000,750,750,50,7000,1500
"12569",30101581,6,1,2,4,1,2,1,1,3,2,5,3,5,3,3,5,4,3,2,5,2,1,2,15,"GA",13,2,0,1,201607,1,6,1,5,1,1,5,1,1,5,3,51,2,2,"12060",4,1,1,2112.19176733764,"S",40,3000,1500,750,60,3000,1500
"12591",30101748,5,3,1,2,2,8,3,3,3,3,5,1,5,5,5,5,2,1,4,5,5,1,2,4,"GA",13,2,0,1,201610,1,2,3,3,2,1,2,1,1,5,3,53,1,2,"XXXXX",2,3,2,80.456261023312,"C",60,1500,750,750,20,3000,1500
"12599",30101795,6,3,1,1,1,-7,-9,1,3,-9,-9,1,-9,-9,-9,-9,3,-9,-9,-9,-9,2,1,12,"GA",13,1,0,0,201605,1,9,3,1,2,4,6,2,1,5,3,53,2,2,"XXXXX",1,1,2,157.338602625695,"T",5,300,50,150,5,300,300
"12601",30101802,5,1,1,3,1,4,1,1,2,4,5,1,5,5,5,5,1,2,4,3,3,1,1,10,"GA",13,1,0,1,201608,1,5,1,5,1,1,5,1,1,5,3,51,2,2,"12060",3,1,2,667.624534485883,"S",20,1500,750,750,20,3000,1500
"12607",30101856,4,3,1,1,2,7,1,1,1,5,5,1,5,5,5,5,5,5,4,4,4,2,1,2,"GA",13,1,0,1,201606,1,1,3,1,2,4,6,2,1,5,3,53,2,2,"XXXXX",1,1,2,119.042545166205,"R",20,300,50,75,20,300,50
"12619",30101928,4,3,1,2,3,6,5,2,1,-9,5,1,5,5,5,5,3,3,4,4,4,1,2,11,"GA",13,2,0,2,201609,1,2,3,1,2,1,1,1,1,5,3,53,1,2,"XXXXX",2,1,2,53.5526834994761,"S",30,1500,750,750,40,1500,750
"12626",30101973,1,1,1,2,2,6,1,1,5,5,5,1,5,5,5,5,2,2,5,5,5,1,2,12,"GA",13,2,0,0,201609,1,10,1,5,1,1,5,1,1,5,3,51,1,2,"12060",2,1,2,594.291709899895,"S",5,1500,750,750,0,1500,300
"12636",30102047,2,3,1,3,2,6,1,1,5,5,5,1,5,5,5,5,4,2,5,5,5,1,2,4,"GA",13,2,1,1,201609,1,4,3,3,2,1,2,1,1,5,3,53,1,2,"XXXXX",3,1,2,439.049479281394,"T",20,1500,300,750,5,1500,750
"12671",30102405,7,1,1,2,2,2,5,5,5,-9,-9,2,-9,-9,-9,-9,2,-9,-9,-9,-9,1,1,0,"GA",13,2,0,0,201610,1,10,1,5,1,1,5,1,1,5,3,51,1,2,"12060",2,5,1,660.598386715433,"T",5,300,300,150,5,300,300
"12680",30102474,6,1,1,1,2,6,1,1,1,-9,-9,1,-9,-9,-9,-9,2,4,3,3,5,2,1,3,"GA",13,1,0,1,201610,1,1,1,5,1,4,6,2,1,5,3,51,1,2,"12060",1,1,2,61.5034573425955,"R",5,300,50,75,20,50,50
"12689",30102539,6,3,2,3,1,4,2,1,2,3,5,1,5,5,5,5,2,2,2,5,3,1,1,13,"GA",13,1,0,1,201608,1,5,3,2,2,1,2,1,1,5,3,53,6,2,"XXXXX",3,1,2,337.976396918442,"C",70,7000,1500,1500,80,3000,1500
"12698",30102649,2,4,2,2,1,3,5,3,4,1,5,1,5,5,5,5,1,2,2,3,3,1,1,9,"GA",13,2,0,1,201606,1,2,4,6,2,4,6,2,1,5,3,54,1,2,"XXXXX",2,3,2,2114.81014817977,"R",5,50,50,25,5,50,50
"12738",30102948,5,3,2,2,2,5,1,1,2,5,5,1,4,3,5,5,2,2,4,4,2,1,2,4,"GA",13,2,0,2,201609,1,2,3,1,2,1,1,1,1,5,3,53,1,2,"XXXXX",2,1,2,78.8081565617494,"T",20,300,300,150,30,1500,750
"12739",30102949,4,3,1,1,1,3,-9,-9,2,-9,-9,2,-9,-9,-9,-9,2,-9,-9,-9,-9,2,1,0,"GA",13,1,0,0,201607,1,9,3,3,2,1,2,1,1,5,3,53,2,2,"XXXXX",1,2,2,67.3025524081646,"S",30,1500,750,750,20,3000,1500
"12740",30102957,5,3,1,4,0,1,5,1,1,1,5,3,1,1,5,5,4,2,3,3,3,1,0,7,"GA",13,4,0,1,201607,1,10,3,2,2,1,2,1,1,5,3,53,2,2,"XXXXX",4,1,2,475.608589987637,"C",50,7000,3000,3000,50,7000,3000
"12763",30103092,5,3,1,2,3,6,-9,2,-9,-9,-9,1,-9,-9,-9,-9,-9,2,-9,-9,-9,1,2,7,"GA",13,2,0,2,201610,1,10,3,1,2,4,6,2,1,5,3,53,2,2,"XXXXX",2,2,2,148.16755100249,"R",5,50,50,25,5,50,50
"12773",30103162,2,1,1,4,2,7,1,1,1,5,5,1,5,5,5,5,2,2,4,4,4,1,2,23,"GA",13,2,0,2,201607,1,6,1,5,1,1,5,1,1,5,3,51,6,2,"12060",4,1,2,611.371271208877,"C",20,3000,1500,1500,5,3000,1500
"12778",30103202,5,3,2,2,1,9,3,5,1,-9,5,2,4,4,5,5,4,3,3,-9,2,1,1,3,"GA",13,2,0,0,201609,1,10,3,1,2,1,1,1,1,5,3,53,1,2,"XXXXX",2,1,1,62.894419184347,"T",30,300,300,75,40,750,300
"12784",30103233,2,3,1,1,1,6,1,5,1,3,4,1,4,5,5,5,3,3,4,4,4,2,1,6,"GA",13,1,0,0,201608,1,9,3,2,2,4,6,2,1,5,3,53,1,2,"XXXXX",1,1,2,61.6182762802503,"R",0,300,50,75,0,300,300
"12799",30103318,5,1,1,3,1,3,1,1,5,2,5,3,4,1,1,5,1,2,5,5,2,1,3,22,"GA",13,3,0,2,201607,1,2,1,5,1,1,5,1,1,5,3,51,2,2,"12060",3,1,2,1137.96840489689,"S",40,3000,1500,1500,40,3000,1500
"12802",30103327,6,1,2,1,0,1,4,1,2,2,5,5,5,3,3,5,2,3,4,4,-9,2,0,2,"GA",13,1,0,0,201609,1,1,1,5,1,1,5,1,1,5,3,51,6,2,"12060",1,1,2,614.47487808677,"S",50,3000,1500,1500,50,1500,750
"12812",30103378,6,3,1,2,2,5,1,1,1,4,4,1,5,5,5,5,3,3,4,4,4,1,2,3,"GA",13,2,0,0,201607,1,10,3,1,2,1,1,1,1,5,3,53,1,2,"XXXXX",2,1,2,76.1261009547701,"T",40,3000,1500,1500,5,1500,750
"12847",30103664,4,1,2,1,1,1,1,1,5,5,5,1,2,5,5,5,1,3,5,5,4,2,1,2,"GA",13,1,0,1,201607,1,1,1,5,1,1,5,1,1,5,3,51,2,2,"12060",1,1,2,681.329772303498,"T",30,1500,300,350,30,1500,750
"12852",30103710,6,3,2,2,2,4,1,1,1,4,5,1,4,5,5,5,2,3,3,4,4,1,2,7,"GA",13,2,0,2,201607,1,2,3,2,2,1,2,1,1,5,3,53,2,2,"XXXXX",2,1,2,236.219322091936,"C",60,7000,3000,3000,70,7000,3000
"12863",30103830,6,1,1,1,1,5,1,5,5,4,5,1,4,5,4,5,2,3,4,5,3,2,1,0,"GA",13,1,0,0,201609,1,9,1,5,1,1,5,1,1,5,3,51,1,2,"12060",1,1,1,154.79134488453,"C",70,7000,3000,3000,60,3000,3000
"12880",30104021,4,3,1,1,4,4,4,2,3,5,5,1,5,5,5,5,5,4,5,5,5,2,1,11,"GA",13,1,0,0,201606,1,9,3,1,2,1,1,1,1,5,3,53,1,2,"XXXXX",1,2,2,101.257932132156,"T",40,750,300,150,40,1500,300
"12890",30104092,3,4,1,2,2,8,1,1,3,4,5,1,5,5,5,5,5,4,4,5,5,1,2,7,"GA",13,2,0,1,201605,1,2,4,6,2,4,6,2,1,5,3,54,1,2,"XXXXX",2,1,2,722.427158484906,"R",5,300,50,25,5,300,300
"12911",30104205,4,3,1,1,1,4,5,5,5,5,5,2,5,5,5,5,3,2,5,5,5,2,1,6,"GA",13,1,0,0,201610,1,9,3,1,2,4,6,2,1,5,3,53,1,2,"XXXXX",1,5,2,60.4607209355126,"R",20,50,50,25,20,50,50
"12918",30104238,4,3,1,2,2,7,1,1,5,5,5,2,4,5,5,5,5,5,5,5,5,1,2,14,"GA",13,2,0,0,201606,1,10,3,2,2,1,2,1,1,5,3,53,1,2,"XXXXX",2,1,2,90.8947345679045,"T",20,750,300,350,20,750,300
"12922",30104254,5,1,1,4,2,3,2,1,1,4,4,1,5,5,5,5,2,3,2,2,3,1,1,6,"GA",13,2,2,2,201606,1,4,1,5,1,1,5,1,1,5,3,51,3,2,"12060",4,1,2,1516.51589476778,"C",20,3000,750,1500,20,3000,1500
"12926",30104293,5,4,2,1,0,1,5,-9,-9,-9,-9,2,-9,-9,-9,-9,2,-9,-9,-9,-9,2,0,3,"GA",13,1,0,0,201611,1,1,4,6,2,4,6,2,1,5,3,54,2,2,"XXXXX",1,5,2,614.469027637874,"R",20,50,50,25,20,50,50
"12959",30104552,4,1,2,3,0,1,2,1,1,1,5,3,3,1,1,5,1,1,1,3,1,1,0,9,"GA",13,1,2,1,201609,1,3,1,5,1,1,5,1,1,5,3,51,2,2,"12060",3,1,2,1219.82917746014,"S",60,7000,3000,1500,60,7000,3000
"12970",30104659,5,3,1,2,2,5,5,1,1,4,5,1,4,5,4,5,2,2,4,4,5,1,2,7,"GA",13,2,0,1,201610,1,10,3,1,2,1,1,1,1,5,3,53,1,2,"XXXXX",2,1,2,71.8743313989953,"T",5,1500,300,750,20,1500,300
"12980",30104724,3,3,1,4,7,4,1,1,5,5,5,1,5,5,5,5,1,2,5,5,5,1,4,14,"GA",13,4,0,4,201611,1,8,3,1,2,4,6,2,1,5,3,53,1,2,"XXXXX",4,1,2,132.410136789186,"R",20,300,300,150,20,300,50
"12987",30104786,2,3,2,3,2,7,1,1,2,4,5,1,5,5,5,5,5,3,5,5,5,1,2,6,"GA",13,2,0,1,201607,1,4,3,2,2,1,2,1,1,5,3,53,3,2,"XXXXX",3,1,2,228.898557945019,"T",40,750,300,350,50,3000,1500
"13045",30105301,4,3,2,2,1,1,5,5,5,5,5,2,5,5,5,5,2,1,3,3,4,1,1,0,"GA",13,2,0,0,201609,1,10,3,1,2,1,1,1,1,5,3,53,2,2,"XXXXX",2,5,2,139.986432551403,"C",50,1500,750,750,60,7000,1500
"13047",30105312,1,3,2,1,2,6,5,1,5,5,5,1,5,5,5,5,2,1,5,5,5,2,1,2,"GA",13,1,0,0,201607,1,1,3,2,2,1,2,1,1,5,3,53,1,2,"XXXXX",1,1,2,354.933728869727,"C",30,3000,1500,1500,40,3000,1500
"13068",30105544,4,3,1,1,0,3,4,2,4,3,3,1,4,4,4,5,3,3,4,3,4,2,1,3,"GA",13,1,0,1,201606,1,1,3,1,2,1,1,1,1,5,3,53,6,2,"XXXXX",1,2,2,252.629337928262,"T",40,750,300,350,40,750,300
"13074",30105579,6,3,1,3,3,5,2,5,5,5,5,2,5,5,5,5,1,1,3,3,3,1,3,9,"GA",13,3,0,1,201608,1,10,3,1,2,4,6,2,1,5,3,53,1,2,"XXXXX",3,2,2,183.817611462773,"R",30,50,50,25,30,50,50
